"src_code","trg_code","src_codingsystem","trg_codingsystem"
"Gill Net","07.9","gear_ccsbt","isscfg_revision_1"
"Handline","09.1","gear_ccsbt","isscfg_revision_1"
"Longline","09.39","gear_ccsbt","isscfg_revision_1"
"Other","10.9","gear_ccsbt","isscfg_revision_1"
"Pole and Line","09.1","gear_ccsbt","isscfg_revision_1"
"Purse Seine","01.1","gear_ccsbt","isscfg_revision_1"
"Troll","09.5","gear_ccsbt","isscfg_revision_1"
"Gillnet","07.2","gear_ccsbt","isscfg_revision_1"
"Unspecified Surface","99.9","gear_ccsbt","isscfg_revision_1"
