src_code,trg_code,src_codingsystem,trg_codingsystem
SHL,SHL,species_iccat,species_asfis
SHM,SHM,species_iccat,species_asfis
SHO,SHO,species_iccat,species_asfis
SHX,SHX,species_iccat,species_asfis
SIE,SIE,species_iccat,species_asfis
SKH,SKH,species_iccat,species_asfis
SKJ,SKJ,species_iccat,species_asfis
SLT,SLT,species_iccat,species_asfis
SMA,SMA,species_iccat,species_asfis
SMD,SMD,species_iccat,species_asfis
SOR,SOR,species_iccat,species_asfis
SPF,SPF,species_iccat,species_asfis
SPJ,SPJ,species_iccat,species_asfis
SPK,SPK,species_iccat,species_asfis
SPL,SPL,species_iccat,species_asfis
SPN,SPN,species_iccat,species_asfis
SPY,SPY,species_iccat,species_asfis
SPZ,SPZ,species_iccat,species_asfis
SSM,SSM,species_iccat,species_asfis
SSP,SSP,species_iccat,species_asfis
STS,STS,species_iccat,species_asfis
STT,STT,species_iccat,species_asfis
SWO,SWO,species_iccat,species_asfis
SYC,SYC,species_iccat,species_asfis
SYO,SYO,species_iccat,species_asfis
SYR,SYR,species_iccat,species_asfis
SYT,SYT,species_iccat,species_asfis
SYX,SYX,species_iccat,species_asfis
TCR,TCR,species_iccat,species_asfis
THR,THR,species_iccat,species_asfis
TIG,TIG,species_iccat,species_asfis
TRG,TRG,species_iccat,species_asfis
TRI,TRI,species_iccat,species_asfis
TRK,TRK,species_iccat,species_asfis
TST,TST,species_iccat,species_asfis
TUN,TUN,species_iccat,species_asfis
TUS,TUS,species_iccat,species_asfis
TUX,TUX,species_iccat,species_asfis
USE,USE,species_iccat,species_asfis
WAH,WAH,species_iccat,species_asfis
WHM,WHM,species_iccat,species_asfis
WSH,WSH,species_iccat,species_asfis
YFT,YFT,species_iccat,species_asfis
YTC,YTC,species_iccat,species_asfis
YTL,YTL,species_iccat,species_asfis
AWI,AWI,species_iccat,species_asfis
BAZ,BAZ,species_iccat,species_asfis
BEN,BEN,species_iccat,species_asfis
HMM,HMM,species_iccat,species_asfis
CWO,CWO,species_iccat,species_asfis
MOP,MOP,species_iccat,species_asfis
LGH,LGH,species_iccat,species_asfis
BVP,BVP,species_iccat,species_asfis
BRZ,BRZ,species_iccat,species_asfis
DWH,DWH,species_iccat,species_asfis
TTH,TTH,species_iccat,species_asfis
TTX,TTX,species_iccat,species_asfis
LHZ,LHZ,species_iccat,species_asfis
