src_code,trg_code,src_codingsystem,trg_codingsystem
HXT,SHK,species_asfis,speciesgroup_tunaatlas
IAX,CEPHALO,species_asfis,speciesgroup_tunaatlas
ISB,SHK,species_asfis,speciesgroup_tunaatlas
KAK,SPMA,species_asfis,speciesgroup_tunaatlas
KAW,TUNNER,species_asfis,speciesgroup_tunaatlas
KGM,SPMA,species_asfis,speciesgroup_tunaatlas
KGX,SPMA,species_asfis,speciesgroup_tunaatlas
KOS,SPMA,species_asfis,speciesgroup_tunaatlas
LAG,BOFOT,species_asfis,speciesgroup_tunaatlas
LEB,BONMACK,species_asfis,speciesgroup_tunaatlas
LEC,BOFOT,species_asfis,speciesgroup_tunaatlas
LEE,BOFOT,species_asfis,speciesgroup_tunaatlas
LES,SHK,species_asfis,speciesgroup_tunaatlas
LMA,SHK,species_asfis,speciesgroup_tunaatlas
LMD,SHK,species_asfis,speciesgroup_tunaatlas
LMP,SHK,species_asfis,speciesgroup_tunaatlas
LOT,TUNNER,species_asfis,speciesgroup_tunaatlas
LTA,TUNNER,species_asfis,speciesgroup_tunaatlas
MAA,BONMACK,species_asfis,speciesgroup_tunaatlas
MAC,BONMACK,species_asfis,speciesgroup_tunaatlas
MAK,SHK,species_asfis,speciesgroup_tunaatlas
MAN,RAYS,species_asfis,speciesgroup_tunaatlas
MAS,BONMACK,species_asfis,speciesgroup_tunaatlas
MAW,SPMA,species_asfis,speciesgroup_tunaatlas
MLS,BILLFIS,species_asfis,speciesgroup_tunaatlas
MOO,BOFOT,species_asfis,speciesgroup_tunaatlas
MOS,SPMA,species_asfis,speciesgroup_tunaatlas
MOX,BOFOT,species_asfis,speciesgroup_tunaatlas
MRW,BOFOT,species_asfis,speciesgroup_tunaatlas
MSD,BOFOT,species_asfis,speciesgroup_tunaatlas
MSK,SHK,species_asfis,speciesgroup_tunaatlas
MSP,BILLFIS,species_asfis,speciesgroup_tunaatlas
MZZ,BOFOT,species_asfis,speciesgroup_tunaatlas
NAU,BOFOT,species_asfis,speciesgroup_tunaatlas
NEN,BOFOT,species_asfis,speciesgroup_tunaatlas
NGB,SHK,species_asfis,speciesgroup_tunaatlas
NPH,SPMA,species_asfis,speciesgroup_tunaatlas
NTC,SHK,species_asfis,speciesgroup_tunaatlas
OCS,SHK,species_asfis,speciesgroup_tunaatlas
OIL,BOFOT,species_asfis,speciesgroup_tunaatlas
OXN,SHK,species_asfis,speciesgroup_tunaatlas
OXY,SHK,species_asfis,speciesgroup_tunaatlas
PAP,SPMA,species_asfis,speciesgroup_tunaatlas
PBF,TUNTEMP,species_asfis,speciesgroup_tunaatlas
PLS,RAYS,species_asfis,speciesgroup_tunaatlas
POA,BOFOT,species_asfis,speciesgroup_tunaatlas
POL,BOFOT,species_asfis,speciesgroup_tunaatlas
POR,SHK,species_asfis,speciesgroup_tunaatlas
PSK,SHK,species_asfis,speciesgroup_tunaatlas
PTH,SHK,species_asfis,speciesgroup_tunaatlas
PTM,SHK,species_asfis,speciesgroup_tunaatlas
QUB,SHK,species_asfis,speciesgroup_tunaatlas
QUL,SHK,species_asfis,speciesgroup_tunaatlas
QUM,SPMA,species_asfis,speciesgroup_tunaatlas
RAG,BONMACK,species_asfis,speciesgroup_tunaatlas
RAX,BONMACK,species_asfis,speciesgroup_tunaatlas
RHA,SHK,species_asfis,speciesgroup_tunaatlas
RHN,SHK,species_asfis,speciesgroup_tunaatlas
RHT,SHK,species_asfis,speciesgroup_tunaatlas
RHZ,SHK,species_asfis,speciesgroup_tunaatlas
RMB,RAYS,species_asfis,speciesgroup_tunaatlas
RMH,RAYS,species_asfis,speciesgroup_tunaatlas
RMJ,RAYS,species_asfis,speciesgroup_tunaatlas
RMM,RAYS,species_asfis,speciesgroup_tunaatlas
RMN,RAYS,species_asfis,speciesgroup_tunaatlas
RMO,RAYS,species_asfis,speciesgroup_tunaatlas
RMT,RAYS,species_asfis,speciesgroup_tunaatlas
RRU,BOFOT,species_asfis,speciesgroup_tunaatlas
RSK,SHK,species_asfis,speciesgroup_tunaatlas
RSP,BILLFIS,species_asfis,speciesgroup_tunaatlas
RUB,BOFOT,species_asfis,speciesgroup_tunaatlas
RZV,BOFOT,species_asfis,speciesgroup_tunaatlas
SAI,BILLFIS,species_asfis,speciesgroup_tunaatlas
SAU,BOFOT,species_asfis,speciesgroup_tunaatlas
SBF,TUNTEMP,species_asfis,speciesgroup_tunaatlas
SBL,SHK,species_asfis,speciesgroup_tunaatlas
SCK,SHK,species_asfis,speciesgroup_tunaatlas
SCL,SHK,species_asfis,speciesgroup_tunaatlas
SDP,SHK,species_asfis,speciesgroup_tunaatlas
