"src_code","trg_code","src_codingsystem","trg_codingsystem"
"MNE","MNE","flag_iccat","fishingfleet_firms"
"MOZ","MOZ","flag_iccat","fishingfleet_firms"
"MRT","MRT","flag_iccat","fishingfleet_firms"
"MUS","MUS","flag_iccat","fishingfleet_firms"
"MYS","MYS","flag_iccat","fishingfleet_firms"
"NAM","NAM","flag_iccat","fishingfleet_firms"
"NEI.001","NEI","flag_iccat","fishingfleet_firms"
"NEI.002","NEI","flag_iccat","fishingfleet_firms"
"NEI.COMB","NEI","flag_iccat","fishingfleet_firms"
"NEI.FLAGS","NEI","flag_iccat","fishingfleet_firms"
"NEI.UK.OT","GBRT","flag_iccat","fishingfleet_firms"
"NEI-BIL","NEI","flag_iccat","fishingfleet_firms"
"NGA","NGA","flag_iccat","fishingfleet_firms"
"NIC","NIC","flag_iccat","fishingfleet_firms"
"NOR","NOR","flag_iccat","fishingfleet_firms"
"NZL","NZL","flag_iccat","fishingfleet_firms"
"OMN","OMN","flag_iccat","fishingfleet_firms"
"PAN","PAN","flag_iccat","fishingfleet_firms"
"PAN.Obs","PAN","flag_iccat","fishingfleet_firms"
"PER","PER","flag_iccat","fishingfleet_firms"
"PHL","PHL","flag_iccat","fishingfleet_firms"
"PLW","PLW","flag_iccat","fishingfleet_firms"
"PNG","PNG","flag_iccat","fishingfleet_firms"
"PRI","PRI","flag_iccat","fishingfleet_firms"
"PSE","PSE","flag_iccat","fishingfleet_firms"
"PYF","PYF","flag_iccat","fishingfleet_firms"
"ROU","EUROU","flag_iccat","fishingfleet_firms"
"RUS","RUS","flag_iccat","fishingfleet_firms"
"SCG","SCG","flag_iccat","fishingfleet_firms"
"SEN","SEN","flag_iccat","fishingfleet_firms"
"SGP","SGP","flag_iccat","fishingfleet_firms"
"SGP.Obs","SGP","flag_iccat","fishingfleet_firms"
"SLB","SLB","flag_iccat","fishingfleet_firms"
"SLE","SLE","flag_iccat","fishingfleet_firms"
"SLV","SLV","flag_iccat","fishingfleet_firms"
"SRB","SRB","flag_iccat","fishingfleet_firms"
"STP","STP","flag_iccat","fishingfleet_firms"
"SUN","SUN","flag_iccat","fishingfleet_firms"
"SUR","SUR","flag_iccat","fishingfleet_firms"
"SYC","SYC","flag_iccat","fishingfleet_firms"
"SYC.Obs","SYC","flag_iccat","fishingfleet_firms"
"SYR","SYR","flag_iccat","fishingfleet_firms"
"TAI","TWN","flag_iccat","fishingfleet_firms"
"TAI.Obs","TWN","flag_iccat","fishingfleet_firms"
"TGO","TGO","flag_iccat","fishingfleet_firms"
"THA","THA","flag_iccat","fishingfleet_firms"
"TON","TON","flag_iccat","fishingfleet_firms"
"TTO","TTO","flag_iccat","fishingfleet_firms"
"TUN","TUN","flag_iccat","fishingfleet_firms"
"TUR","TUR","flag_iccat","fishingfleet_firms"
"TUV","TUV","flag_iccat","fishingfleet_firms"
"TZA","TZA","flag_iccat","fishingfleet_firms"
"UK.BMU","BMU","flag_iccat","fishingfleet_firms"
"UK.SHN","SHN","flag_iccat","fishingfleet_firms"
"UK.TCA","TCA","flag_iccat","fishingfleet_firms"
"UK.VGB","VGB","flag_iccat","fishingfleet_firms"
"UKR","UKR","flag_iccat","fishingfleet_firms"
"UNCL","NEI","flag_iccat","fishingfleet_firms"
"URY","URY","flag_iccat","fishingfleet_firms"
"USA","USA","flag_iccat","fishingfleet_firms"
"VCT","VCT","flag_iccat","fishingfleet_firms"
"VEN","VEN","flag_iccat","fishingfleet_firms"
"VIR","VIR","flag_iccat","fishingfleet_firms"
"VNM","VNM","flag_iccat","fishingfleet_firms"
"VUT","VUT","flag_iccat","fishingfleet_firms"
"WSM","WSM","flag_iccat","fishingfleet_firms"
"YUG","YUG","flag_iccat","fishingfleet_firms"
"ZAF","ZAF","flag_iccat","fishingfleet_firms"
