src_code,trg_code,src_codingsystem,trg_codingsystem
BAF,BAF,species_iotc,species_asfis
BTS,BTS,species_iotc,species_asfis
BEN,BEN,species_iotc,species_asfis
YTL,YTL,species_iotc,species_asfis
NAU,NAU,species_iotc,species_asfis
NGT,NGT,species_iotc,species_asfis
USE,USE,species_iotc,species_asfis
MOX,MOX,species_iotc,species_asfis
OSF,OSF,species_iotc,species_asfis
CTU,CTU,species_iotc,species_asfis
TFM,TFM,species_iotc,species_asfis
RAJ,RAJ,species_iotc,species_asfis
RMJ,RMM,species_iotc,species_asfis
ESCL,LEC,species_iotc,species_asfis
MLW,WHM,species_iotc,species_asfis
SHBC,HAY,species_iotc,species_asfis
SHCW,HXW,species_iotc,species_asfis
SKPN,CCB,species_iotc,species_asfis
MARL,BXQ,species_iotc,species_asfis
SHRK,SKH,species_iotc,species_asfis
HAY,HAY,species_iotc,species_asfis
HXW,HXW,species_iotc,species_asfis
RMV,RMV,species_iotc,species_asfis
SKX,SKX,species_iotc,species_asfis
WSH,WSH,species_iotc,species_asfis
