"code","uri","label","definition","label_en","label_fr","label_es","country","tocheck"
"EUPRT",NA,"Portugal (EU)",NA,"Portugal (EU)","Portugal (UE)","Portugal (UE)","Portugal ","Yes"
"EUR",NA,"European Union",NA,"European Union","Union européenne","Unión europea","European Union","Yes"
"EUROU",NA,"Romania (EU)",NA,"Romania (EU)","Roumanie (UE)","Rumania (UE)","Romania ","Yes"
"EUSVN",NA,"Slovenia (EU)",NA,"Slovenia (EU)","Slovénie (UE)","Eslovenia (UE)","Slovenia ","Yes"
"EUSWE",NA,"Sweden (EU)",NA,"Sweden (EU)","Suède (UE)","Suecia (UE)","Sweden ","Yes"
"FJI",NA,"Fiji, Republic of",NA,"Fiji, Republic of","République des Fidji","República de Fiji","Fiji, Republic of","Yes"
"FLK",NA,"Falkland Is.(Malvinas)",NA,"Falkland Is.(Malvinas)","Îles Falkland(Malvinas)","Islas Malvinas(Falkland)","UK","Yes"
"FRAT",NA,"France (territories)",NA,"France (territories)","France (territoires)","Francia (territorios)","France ","Yes"
"FRO",NA,"Faroe Islands",NA,"Faroe Islands","Îles Féroé","Islas Feroe","Denmark","Yes"
"FSM",NA,"Micronesia,Fed.States of",NA,"Micronesia,Fed.States of","Micronésie(États féd.de)","Micronesia(Estados Fed.)","Micronesia,Fed.States of","Yes"
"GAB",NA,"Gabon",NA,"Gabon","Gabon","Gabón","Gabon","Yes"
"GBR",NA,"United Kingdom",NA,"United Kingdom","Royaume-Uni","Reino Unido","United Kingdom","Yes"
"GBRT",NA,"UK (territories)",NA,"UK (territories)","Royaume-Uni (territoires)","Reino Unido (territorios)","UK ","Yes"
"GEO",NA,"Georgia",NA,"Georgia","Géorgie","Georgia","Georgia","Yes"
"GHA",NA,"Ghana",NA,"Ghana","Ghana","Ghana","Ghana","Yes"
"GIN",NA,"Guinea",NA,"Guinea","Guinée","Guinea","Guinea","Yes"
"GMB",NA,"Gambia",NA,"Gambia","Gambie","Gambia","Gambia","Yes"
"GNB",NA,"Guinea-Bissau",NA,"Guinea-Bissau","Guinée-Bissau","Guinea-Bissau","Guinea-Bissau","Yes"
"GNQ",NA,"Equatorial Guinea",NA,"Equatorial Guinea","Guinée équatoriale","Guinea Ecuatorial","Equatorial Guinea","Yes"
"GRD",NA,"Grenada",NA,"Grenada","Grenade","Granada","Grenada","Yes"
"GTM",NA,"Guatemala",NA,"Guatemala","Guatemala","Guatemala","Guatemala","Yes"
"GUM",NA,"Guam",NA,"Guam","Guam","Guam","United States of America","Yes"
"GUY",NA,"Guyana",NA,"Guyana","Guyana","Guyana","Guyana","Yes"
"HND",NA,"Honduras",NA,"Honduras","Honduras","Honduras","Honduras","Yes"
"HTI",NA,"Haiti",NA,"Haiti","Haïti","Haití","Haiti","Yes"
"IDN",NA,"Indonesia",NA,"Indonesia","Indonésie","Indonesia","Indonesia","Yes"
"IND",NA,"India",NA,"India","Inde","India","India","Yes"
"IRN",NA,"Iran (Islamic Rep. of)",NA,"Iran (Islamic Rep. of)","Iran (Rép. islamique d')","Irán (Rep. Islámica del)","Iran ","Yes"
"ISL",NA,"Iceland",NA,"Iceland","Islande","Islandia","Iceland","Yes"
"ISR",NA,"Israel",NA,"Israel","Israël","Israel","Israel","Yes"
"JAM",NA,"Jamaica",NA,"Jamaica","Jamaïque","Jamaica","Jamaica","Yes"
"JOR",NA,"Jordan",NA,"Jordan","Jordanie","Jordania","Jordan","Yes"
"JPN",NA,"Japan",NA,"Japan","Japon","Japón","Japan","Yes"
"KEN",NA,"Kenya",NA,"Kenya","Kenya","Kenya","Kenya","Yes"
"KHM",NA,"Cambodia",NA,"Cambodia","Cambodge","Camboya","Cambodia","Yes"
"KIR",NA,"Kiribati",NA,"Kiribati","Kiribati","Kiribati","Kiribati","Yes"
"KNA",NA,"Saint Kitts and Nevis",NA,"Saint Kitts and Nevis","Saint-Kitts-et-Nevis","Saint Kitts y Nevis","Saint Kitts and Nevis","Yes"
"KOR",NA,"Korea, Republic of",NA,"Korea, Republic of","République de Corée","República de Corea","Korea, Republic of","Yes"
"KWT",NA,"Kuwait",NA,"Kuwait","Koweït","Kuwait","Kuwait","Yes"
"LBN",NA,"Lebanon",NA,"Lebanon","Liban","Líbano","Lebanon","Yes"
"LBR",NA,"Liberia",NA,"Liberia","Libéria","Liberia","Liberia","Yes"
"LBY",NA,"Libya",NA,"Libya","Libye","Libia","Libya","Yes"
"LCA",NA,"Saint Lucia",NA,"Saint Lucia","Sainte-Lucie","Santa Lucía","Saint Lucia","Yes"
"LKA",NA,"Sri Lanka",NA,"Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Yes"
"MAR",NA,"Morocco",NA,"Morocco","Maroc","Marruecos","Morocco","Yes"
"MDG",NA,"Madagascar",NA,"Madagascar","Madagascar","Madagascar","Madagascar","Yes"
"MDV",NA,"Maldives",NA,"Maldives","Maldives","Maldivas","Maldives","Yes"
"MEX",NA,"Mexico",NA,"Mexico","Mexique","México","Mexico","Yes"
"MHL",NA,"Marshall Islands",NA,"Marshall Islands","Îles Marshall","Islas Marshall","United States of America","Yes"
"MMR",NA,"Myanmar",NA,"Myanmar","Myanmar","Myanmar","Myanmar","Yes"
"MNE",NA,"Montenegro",NA,"Montenegro","Monténégro","Montenegro","Montenegro","Yes"
"MNP",NA,"Northern Mariana Is.",NA,"Northern Mariana Is.","Îles Mariannes du Nord","Islas Marianas septent.","United States of America","Yes"
"MOZ",NA,"Mozambique",NA,"Mozambique","Mozambique","Mozambique","Mozambique","Yes"
"MRT",NA,"Mauritania",NA,"Mauritania","Mauritanie","Mauritania","Mauritania","Yes"
"MUS",NA,"Mauritius",NA,"Mauritius","Maurice","Mauricio","Mauritius","Yes"
"MYS",NA,"Malaysia",NA,"Malaysia","Malaisie","Malasia","Malaysia","Yes"
"NAM",NA,"Namibia",NA,"Namibia","Namibie","Namibia","Namibia","Yes"
"NCL",NA,"New Caledonia",NA,"New Caledonia","Nouvelle-Calédonie","Nueva Caledonia","France","Yes"
"NEI",NA,"Other nei",NA,"Other nei","Autres nca","Otros nep","Other nei","Yes"
"NGA",NA,"Nigeria",NA,"Nigeria","Nigéria","Nigeria","Nigeria","Yes"
"NIC",NA,"Nicaragua",NA,"Nicaragua","Nicaragua","Nicaragua","Nicaragua","Yes"
"NIU",NA,"Niue",NA,"Niue","Nioué","Niue","Niue","Yes"
"NOR",NA,"Norway",NA,"Norway","Norvège","Noruega","Norway","Yes"
"NRU",NA,"Nauru",NA,"Nauru","Nauru","Nauru","Nauru","Yes"
"NZL",NA,"New Zealand",NA,"New Zealand","Nouvelle-Zélande","Nueva Zelandia","New Zealand","Yes"
"OMN",NA,"Oman",NA,"Oman","Oman","Omán","Oman","Yes"
"PAK",NA,"Pakistan",NA,"Pakistan","Pakistan","Pakistán","Pakistan","Yes"
"PAN",NA,"Panama",NA,"Panama","Panama","Panamá","Panama","Yes"
"PER",NA,"Peru",NA,"Peru","Pérou","Perú","Peru","Yes"
"PHL",NA,"Philippines",NA,"Philippines","Philippines","Filipinas","Philippines","Yes"
"PLW",NA,"Palau",NA,"Palau","Palaos","Palau","United States of America","Yes"
"PNG",NA,"Papua New Guinea",NA,"Papua New Guinea","Papouasie-Nlle-Guinée","Papua Nueva Guinea","Papua New Guinea","Yes"
"PRI",NA,"Puerto Rico",NA,"Puerto Rico","Porto Rico","Puerto Rico","United States of America","Yes"
"PSE",NA,"Palestine, Occupied Tr.",NA,"Palestine, Occupied Tr.","Palestine, terr.occupé","Palestina, Terri.Ocupado","Palestine, Occupied Tr.","Yes"
"PYF",NA,"French Polynesia",NA,"French Polynesia","Polynésie française","Polinesia Francesa","France","Yes"
"QAT",NA,"Qatar",NA,"Qatar","Qatar","Qatar","Qatar","Yes"
"RUS",NA,"Russian Federation",NA,"Russian Federation","Fédération de Russie","Federación de Rusia","Russian Federation","Yes"
"SAU",NA,"Saudi Arabia",NA,"Saudi Arabia","Arabie saoudite","Arabia Saudita","Saudi Arabia","Yes"
"SCG",NA,"Serbia and Montenegro",NA,"Serbia and Montenegro","Serbie-et-Monténégro","Serbia y Montenegro","Serbia and Montenegro","Yes"
"SDN",NA,"Sudan",NA,"Sudan","Soudan","Sudán","Sudan","Yes"
"SEN",NA,"Senegal",NA,"Senegal","Sénégal","Senegal","Senegal","Yes"
"SGP",NA,"Singapore",NA,"Singapore","Singapour","Singapur","Singapore","Yes"
"SHN",NA,"Saint Helena",NA,"Saint Helena","Sainte-Hélène","Santa Elena","UK","Yes"
"SLB",NA,"Solomon Islands",NA,"Solomon Islands","Îles Salomon","Islas Salomón","Solomon Islands","Yes"
"SLE",NA,"Sierra Leone",NA,"Sierra Leone","Sierra Leone","Sierra Leona","Sierra Leone","Yes"
"SLV",NA,"El Salvador",NA,"El Salvador","El Salvador","El Salvador","El Salvador","Yes"
"SOM",NA,"Somalia",NA,"Somalia","Somalie","Somalia","Somalia","Yes"
"SPM",NA,"St. Pierre and Miquelon",NA,"St. Pierre and Miquelon","Saint-Pierre-et-Miquelon","San Pedro y Miquelón","St. Pierre and Miquelon","Yes"
"SRB",NA,"Serbia",NA,"Serbia","Serbie","Serbia","Serbia","Yes"
"STP",NA,"Sao Tome and Principe",NA,"Sao Tome and Principe","Sao Tomé-et-Principe","Santo Tomé y Príncipe","Sao Tome and Principe","Yes"
"SUN",NA,"Un. Sov. Soc. Rep.",NA,"Un. Sov. Soc. Rep.","Union des Rép.soc.sov.","Unión de Rep.Soc.Sov.","Un. Sov. Soc. Rep.","Yes"
"SUR",NA,"Suriname",NA,"Suriname","Suriname","Suriname","Suriname","Yes"
"SYC",NA,"Seychelles",NA,"Seychelles","Seychelles","Seychelles","Seychelles","Yes"
"SYR",NA,"Syrian Arab Republic",NA,"Syrian Arab Republic","Rép. arabe syrienne","República Árabe Siria","Syrian Arab Republic","Yes"
"TCA",NA,"Turks and Caicos Is.",NA,"Turks and Caicos Is.","Îles Turques et Caïques","Islas Turcas y Caicos","UK","Yes"
"TGO",NA,"Togo",NA,"Togo","Togo","Togo","Togo","Yes"
"THA",NA,"Thailand",NA,"Thailand","Thaïlande","Tailandia","Thailand","Yes"
"TKM",NA,"Turkmenistan",NA,"Turkmenistan","Turkménistan","Turkmenistán","Turkmenistan","Yes"
"TLS",NA,"Timor-Leste",NA,"Timor-Leste","Timor-Leste","Timor-Leste","Timor-Leste","Yes"
"TON",NA,"Tonga",NA,"Tonga","Tonga","Tonga","Tonga","Yes"
"TTO",NA,"Trinidad and Tobago",NA,"Trinidad and Tobago","Trinité-et-Tobago","Trinidad y Tabago","Trinidad and Tobago","Yes"
"TUN",NA,"Tunisia",NA,"Tunisia","Tunisie","Túnez","Tunisia","Yes"
"TUR",NA,"Turkey",NA,"Turkey","Turquie","Turquía","Turkey","Yes"
"TUV",NA,"Tuvalu",NA,"Tuvalu","Tuvalu","Tuvalu","Tuvalu","Yes"
"TWN",NA,"Taiwan Province of China",NA,"Taiwan Province of China","Prov. chinoise de Taïwan","Prov. china de Taiwán","Taiwan Province of China","Yes"
"TZA",NA,"Tanzania, United Rep. of",NA,"Tanzania, United Rep. of","Rép.-Unie de Tanzanie","Rep. Unida de Tanzanía","Tanzania, United Rep. of","Yes"
"UKR",NA,"Ukraine",NA,"Ukraine","Ukraine","Ucrania","Ukraine","Yes"
"URY",NA,"Uruguay",NA,"Uruguay","Uruguay","Uruguay","Uruguay","Yes"
"USA",NA,"United States of America",NA,"United States of America","États-Unis d'Amérique","EstadosUnidos de América","United States of America","Yes"
"VCT",NA,"Saint Vincent/Grenadines",NA,"Saint Vincent/Grenadines","Saint-Vincent/Grenadines","San Vicente/Grenadinas","Saint Vincent/Grenadines","Yes"
"VEN",NA,"Venezuela, Boliv Rep of",NA,"Venezuela, Boliv Rep of","Venezuela, Rép boliv du","Venezuela, Rep Boliv de","Venezuela, Boliv Rep of","Yes"
"VGB",NA,"British Virgin Islands",NA,"British Virgin Islands","Îles Vierges britanniq.","Islas Vírgenes Britán.","UK","Yes"
"VIR",NA,"US Virgin Islands",NA,"US Virgin Islands","Îles Vierges américaines","Islas Vírgenes (EE.UU.)","United States of America","Yes"
"VNM",NA,"Viet Nam",NA,"Viet Nam","Viet Nam","Viet Nam","Viet Nam","Yes"
"VUT",NA,"Vanuatu",NA,"Vanuatu","Vanuatu","Vanuatu","Vanuatu","Yes"
"WLF",NA,"Wallis and Futuna Is.",NA,"Wallis and Futuna Is.","Îles Wallis et Futuna","Islas Wallis y Futuna","France","Yes"
"WSM",NA,"Samoa",NA,"Samoa","Samoa","Samoa","Samoa","Yes"
"YEM",NA,"Yemen",NA,"Yemen","Yémen","Yemen","Yemen","Yes"
"YUG",NA,"Yugoslavia SFR",NA,"Yugoslavia SFR","RFS de Yougoslavie","RFS de Yugoslavia","Yugoslavia SFR","Yes"
"ZAF",NA,"South Africa",NA,"South Africa","Afrique du Sud","Sudáfrica","South Africa","Yes"
