code,uri,label,definition,name_en,name_fr,name_es,name_ar,name_cn,name_ru,isscaap_group_code,taxon_scientific_name,taxon_code,taxon_author,taxon_family,taxon_order
YCL,,Blue sucker,Cycleptus elongatus,Blue sucker,,,,,,11,Cycleptus elongatus,140001000101,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
DEU,,Lost River sucker,Deltistes luxatus,Lost River sucker,,,,,,11,Deltistes luxatus,140001000201,(Cope 1879),CATOSTOMIDAE,CYPRINIFORMES
ATC,,Longnose sucker,Catostomus catostomus,Longnose sucker,,,,,,11,Catostomus catostomus,140001000401,(Forster 1773),CATOSTOMIDAE,CYPRINIFORMES
ATO,,White sucker,Catostomus commersoni,White sucker,,,,,,11,Catostomus commersoni,140001000402,(Lacépède 1803),CATOSTOMIDAE,CYPRINIFORMES
ATS,,Flannelmouth sucker,Catostomus latipinnis,Flannelmouth sucker,,,,,,11,Catostomus latipinnis,140001000403,Baird & Girard 1853,CATOSTOMIDAE,CYPRINIFORMES
ATU,,Largescale sucker,Catostomus macrocheilus,Largescale sucker,,,,,,11,Catostomus macrocheilus,140001000404,Girard 1856,CATOSTOMIDAE,CYPRINIFORMES
ATE,,Tahoe sucker,Catostomus tahoensis,Tahoe sucker,,,,,,11,Catostomus tahoensis,140001000405,Gill & Jordan 1878,CATOSTOMIDAE,CYPRINIFORMES
MOG,,Gray redhorse,Moxostoma congestum,Gray redhorse,,,,,,11,Moxostoma congestum,140001000601,(Baird & Girard 1854),CATOSTOMIDAE,CYPRINIFORMES
MOE,,Golden redhorse,Moxostoma erythrurum,Golden redhorse,,,,,,11,Moxostoma erythrurum,140001000602,(Rafinesque 1818),CATOSTOMIDAE,CYPRINIFORMES
MOM,,Shorthead redhorse,Moxostoma macrolepidotum,Shorthead redhorse,,,,,,11,Moxostoma macrolepidotum,140001000603,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
LAL,,Harelip sucker,Lagochila lacera,Harelip sucker,,,,,,11,Lagochila lacera,140001000901,Jordan & Brayton 1877-78,CATOSTOMIDAE,CYPRINIFORMES
BUB,,Bigmouth buffalo,Ictiobus cyprinellus,Bigmouth buffalo,Poisson-taureau,,,大口胭脂鱼,,11,Ictiobus cyprinellus,140001001101,(Valenciennes 1844),CATOSTOMIDAE,CYPRINIFORMES
BUF,,Buffalofishes nei,Ictiobus spp,Buffalofishes nei,Poissons-taureaux nca,,,,Буффало,11,Ictiobus spp,1400010011XX,,CATOSTOMIDAE,CYPRINIFORMES
MXS,,Chinese sucker,Myxocyprinus asiaticus,Chinese sucker,,,,胭脂鱼,,11,Myxocyprinus asiaticus,140001002001,(Bleeker 1865),CATOSTOMIDAE,CYPRINIFORMES
CDO,,River carpsucker,Carpiodes carpio,River carpsucker,,,,,,11,Carpiodes carpio,140001002901,(Rafinesque 1820),CATOSTOMIDAE,CYPRINIFORMES
XYT,,Razorback sucker,Xyrauchen texanus,Razorback sucker,,,,,,11,Xyrauchen texanus,140001010601,(Abbott 1861),CATOSTOMIDAE,CYPRINIFORMES
ATJ,,Cui-ui,Chasmistes cujus,Cui-ui,,,,,,11,Chasmistes cujus,140001012001,Cope 1883,CATOSTOMIDAE,CYPRINIFORMES
MIM,,Spotted sucker,Minytrema melanops,Spotted sucker,,,,,,11,Minytrema melanops,140001012801,(Rafinesque 1820),CATOSTOMIDAE,CYPRINIFORMES
ERU,,Lake chubsucker,Erimyzon sucetta,Lake chubsucker,,,,,,11,Erimyzon sucetta,140001012901,(Lacépède 1803),CATOSTOMIDAE,CYPRINIFORMES
HYN,,Northern hog sucker,Hypentelium nigricans,Northern hog sucker,,,,,,11,Hypentelium nigricans,140001013701,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
CTM,,Suckers nei,Catostomidae,Suckers nei,Cyprins sucets nca,Chupadores nep,,,,11,Catostomidae,1400010XXXXX,,CATOSTOMIDAE,CYPRINIFORMES
FBM,,Freshwater bream,Abramis brama,Freshwater bream,Brème d'eau douce,Brema común,,欧鳊,Лещ,11,Abramis brama,140002000102,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
FBR,,Freshwater breams nei,Abramis spp,Freshwater breams nei,Brèmes d'eau douce nca,Bremas nep,,,Лещи,11,Abramis spp,1400020001XX,,CYPRINIDAE,CYPRINIFORMES
FCP,,Common carp,Cyprinus carpio,Common carp,Carpe commune,Carpa común,,鲤,Сазан(=карп),11,Cyprinus carpio,140002000201,Linnaeus 1758,CYPRINIDAE,CYPRINIFORMES
FPR,,Barbless carp,Cyprinus pellegrini,Barbless carp,,,,大头鲤,,11,Cyprinus pellegrini,140002000202,Tchang 1933,CYPRINIDAE,CYPRINIFORMES
AAX,,,Aaptosyax grypus,,,,,,,11,Aaptosyax grypus,140002000401,Rainboth 1991,CYPRINIDAE,CYPRINIFORMES
ABB,,Chinese false gudgeon,Abbottina rivularis,Chinese false gudgeon,,,,棒花鱼,,11,Abbottina rivularis,140002000501,(Basilewsky 1855),CYPRINIDAE,CYPRINIFORMES
AHL,,Blackbrow bleak,Acanthalburnus microlepis,Blackbrow bleak,,,,,,11,Acanthalburnus microlepis,140002000601,(De Filippi 1861),CYPRINIDAE,CYPRINIFORMES
FTE,,Tench,Tinca tinca,Tench,Tanche,Tenca,,丁鱥,Линь,11,Tinca tinca,140002000701,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
ATA,,,Acapoeta tanganicae,,,,,,,11,Acapoeta tanganicae,140002000801,(Boulenger 1900),CYPRINIDAE,CYPRINIFORMES
ALR,,Bleak,Alburnus alburnus,Bleak,Ablette,Alburno,,,Уклейка,11,Alburnus alburnus,140002001201,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
ABD,,,Alburnus albidus,,,,,,,11,Alburnus albidus,140002001202,(Costa 1838),CYPRINIDAE,CYPRINIFORMES
PTB,,Barbel,Barbus barbus,Barbel,Barbeau fluviatile,Barbo común,,,,11,Barbus barbus,140002001301,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
BUD,,Mediterranean barbel,Barbus meridionalis,Mediterranean barbel,,,,,,11,Barbus meridionalis,140002001302,Risso 1827,CYPRINIDAE,CYPRINIFORMES
BBQ,,,Barbus canis,,,,,,,11,Barbus canis,140002001303,Valenciennes 1842,CYPRINIDAE,CYPRINIFORMES
BBN,,Smallmouth yellowfish,Barbus aeneus,Smallmouth yellowfish,,,,,,11,Barbus aeneus,140002001304,(Burchell 1822),CYPRINIDAE,CYPRINIFORMES
BBJ,,Clanwilliam yellowfish,Barbus capensis,Clanwilliam yellowfish,,,,,,11,Barbus capensis,140002001305,Smith 1841,CYPRINIDAE,CYPRINIFORMES
BUH,,,Barbus haasi,,,,,,,11,Barbus haasi,140002001307,Mertens 1925,CYPRINIDAE,CYPRINIFORMES
BUO,,Spotscale barb,Barbus holotaenia,Spotscale barb,,,,,,11,Barbus holotaenia,140002001308,Boulenger 1904,CYPRINIDAE,CYPRINIFORMES
BUJ,,,Barbus johnstonii,,,,,,,11,Barbus johnstonii,140002001309,Boulenger 1907,CYPRINIDAE,CYPRINIFORMES
BUI,,Broadband barb,Barbus macrotaenia,Broadband barb,,,,,,11,Barbus macrotaenia,140002001310,Worthington 1933,CYPRINIDAE,CYPRINIFORMES
BUY,,,Barbus neumayeri,,,,,,,11,Barbus neumayeri,140002001311,Fischer 1884,CYPRINIDAE,CYPRINIFORMES
BUN,,,Barbus longiceps,,,,,,,11,Barbus longiceps,140002001314,Valenciennes 1842,CYPRINIDAE,CYPRINIFORMES
BSJ,,,Barbus plebejus,,,,,,,11,Barbus plebejus,140002001315,Bonaparte 1839,CYPRINIDAE,CYPRINIFORMES
BBU,,Ripon barbel,Barbus altianalis,Ripon barbel,,,,,,11,Barbus altianalis,140002001328,Boulenger 1900,CYPRINIDAE,CYPRINIFORMES
BBI,,,Barbus altidorsalis,,,,,,,11,Barbus altidorsalis,140002001329,Boulenger 1908,CYPRINIDAE,CYPRINIFORMES
BBK,,Algerian barb,Barbus callensis,Algerian barb,,,,,,11,Barbus callensis,140002001332,Valenciennes 1842,CYPRINIDAE,CYPRINIFORMES
BUE,,,Barbus eurystomus,,,,,,,11,Barbus eurystomus,140002001333,Keilhack 1908,CYPRINIDAE,CYPRINIFORMES
BUL,,Line-spotted barb,Barbus lineomaculatus,Line-spotted barb,,,,,,11,Barbus lineomaculatus,140002001334,Boulenger 1903,CYPRINIDAE,CYPRINIFORMES
BSN,,Slender barb,Barbus unitaeniatus,Slender barb,,,,,,11,Barbus unitaeniatus,140002001335,Günther 1866,CYPRINIDAE,CYPRINIFORMES
BUU,,Straightfin barb,Barbus paludinosus,Straightfin barb,,,,,,11,Barbus paludinosus,140002001337,Peters 1852,CYPRINIDAE,CYPRINIFORMES
BSI,,,Barbus perince,,,,,,,11,Barbus perince,140002001338,Rüppell 1836,CYPRINIDAE,CYPRINIFORMES
BSM,,Papermouth,Barbus mattozi,Papermouth,,,,,,11,Barbus mattozi,140002001340,Guimaraes 1884,CYPRINIDAE,CYPRINIFORMES
BUQ,,Largescale yellowfish,Barbus marequensis,Largescale yellowfish,,,,,,11,Barbus marequensis,140002001341,Smith 1841,CYPRINIDAE,CYPRINIFORMES
BST,,Threespot barb,Barbus trimaculatus,Threespot barb,,,,,,11,Barbus trimaculatus,140002001343,Peters 1852,CYPRINIDAE,CYPRINIFORMES
BSO,,,Barbus tropidolepis,,,,,,,11,Barbus tropidolepis,140002001344,Boulenger 1900,CYPRINIDAE,CYPRINIFORMES
BBZ,,,Barbus cyclolepis,,,,,,,11,Barbus cyclolepis,140002001345,Heckel 1837,CYPRINIDAE,CYPRINIFORMES
HON,,Common nase,Chondrostoma nasus,Common nase,Nase commun,Condrostoma común,سمكة شبّوط شائعة,软口鱼,,11,Chondrostoma nasus,140002001401,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
HOX,,,Chondrostoma toxostoma,,,,,,,11,Chondrostoma toxostoma,140002001402,(Vallot 1837),CYPRINIDAE,CYPRINIFORMES
HOY,,Iberian nase,Chondrostoma polylepis,Iberian nase,,,,,,11,Chondrostoma polylepis,140002001403,Steindachner 1864,CYPRINIDAE,CYPRINIFORMES
HOS,,,Chondrostoma soetta,,,,,,,11,Chondrostoma soetta,140002001404,Bonaparte 1840,CYPRINIDAE,CYPRINIFORMES
HOG,,,Chondrostoma genei,,,,,,,11,Chondrostoma genei,140002001405,(Bonaparte 1839),CYPRINIDAE,CYPRINIFORMES
AGE,,Longfin dace,Agosia chrysogaster,Longfin dace,,,,,,11,Agosia chrysogaster,140002001501,Girard 1856,CYPRINIDAE,CYPRINIFORMES
FCC,,Crucian carp,Carassius carassius,Crucian carp,Carassin(=Cyprin),Carpín,,黑鲫,Карась золотой,11,Carassius carassius,140002001601,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
CGO,,Goldfish,Carassius auratus,Goldfish,Poisson rouge(=Cyprin doré),Pez rojo,,鲫,Карась  серебряный,11,Carassius auratus,140002001602,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
IUV,,Japanese white crucian carp,Carassius cuvieri,Japanese white crucian carp,,,,日本白鲫,,11,Carassius cuvieri,140002001603,Temminck & Schlegel 1846,CYPRINIDAE,CYPRINIFORMES
CWG,,Prussian carp,Carassius gibelio,Prussian carp,Carassin argenté,,,银鲫,,11,Carassius gibelio,140002001604,(Bloch 1782),CYPRINIDAE,CYPRINIFORMES
WDX,,,Carassius spp,,,,,鲫类,,11,Carassius spp,1400020016XX,,CYPRINIDAE,CYPRINIFORMES
GOG,,Gudgeon,Gobio gobio,Gudgeon,Goujon,,,,,11,Gobio gobio,140002001701,(Berg 1949),CYPRINIDAE,CYPRINIFORMES
GOP,,White-finned gudgeon,Gobio albipinnatus,White-finned gudgeon,,,,,,11,Gobio albipinnatus,140002001702,Lukasch 1933,CYPRINIDAE,CYPRINIFORMES
FRO,,Roach,Rutilus rutilus,Roach,Gardon,Rutilo,,拟鲤,Плотва,11,Rutilus rutilus,140002001801,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
RFR,,Kutum,Rutilus frisii,Kutum,,,,,Кутум,11,Rutilus frisii,140002001802,(Nordmann 1840),CYPRINIDAE,CYPRINIFORMES
RTR,,,Rutilus rubilio,,,,,,,11,Rutilus rubilio,140002001803,(Bonaparte 1837),CYPRINIDAE,CYPRINIFORMES
RLA,,,Rutilus alburnoides,,,,,,,11,Rutilus alburnoides,140002001809,(Steindachner 1866),CYPRINIDAE,CYPRINIFORMES
RFZ,,,Rutilus lemmingii,,,Pardilla,,,,11,Rutilus lemmingii,140002001811,(Steindachner 1866),CYPRINIDAE,CYPRINIFORMES
RWC,,Caspian roach,Rutilus caspicus,Caspian roach,,,,,,11,Rutilus caspicus,140002001812,(Yakovlev 1870),CYPRINIDAE,CYPRINIFORMES
FRX,,Roaches nei,Rutilus spp,Roaches nei,Gardons nca,Rutilos nep,,,,11,Rutilus spp,1400020018XX,,CYPRINIDAE,CYPRINIFORMES
SRE,,Rudd,Scardinius erythrophthalmus,Rudd,Rotengle,Escardinio,,,Красноперка,11,Scardinius erythrophthalmus,140002001901,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
FID,,Orfe(=Ide),Leuciscus idus,Orfe(=Ide),Ide mélanote,Cachuelo,بُرعان أبيض,圆腹雅罗鱼,Язь,11,Leuciscus idus,140002002001,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
LUC,,,Leuciscus cephaloides,,,,,,,11,Leuciscus cephaloides,140002002003,Battalgil 1942,CYPRINIDAE,CYPRINIFORMES
FIE,,Common dace,Leuciscus leuciscus,Common dace,Vandoise,Leucisco,فاندوازة,雅罗鱼,,11,Leuciscus leuciscus,140002002005,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
LUY,,Dnieper chub,Leuciscus borysthenicus,Dnieper chub,,,,,,11,Leuciscus borysthenicus,140002002006,(Kessler 1859),CYPRINIDAE,CYPRINIFORMES
LUP,,,Leuciscus polylepis,,,,,,,11,Leuciscus polylepis,140002002009,(Steindachner 1866),CYPRINIDAE,CYPRINIFORMES
LUR,,,Leuciscus pyrenaicus,,,,,,,11,Leuciscus pyrenaicus,140002002010,Günther 1868,CYPRINIDAE,CYPRINIFORMES
VLS,,Schmidt's dace,Leuciscus schmidti,Schmidt's dace,,,,,Чебак иссык-кульский,11,Leuciscus schmidti,140002002012,(Herzenstein 1896),CYPRINIDAE,CYPRINIFORMES
VLB,,Issyk-Kul dace,Leuciscus bergi,Issyk-Kul dace,,,,,Чебачек иссык-кульский,11,Leuciscus bergi,140002002013,Kashkarov 1925,CYPRINIDAE,CYPRINIFORMES
JNE,,Siberian dace,Leuciscus baicalensis,Siberian dace,,,,贝加尔雅罗鱼,,11,Leuciscus baicalensis,140002002014,(Dybowski 1874),CYPRINIDAE,CYPRINIFORMES
LEW,,Chubs nei,Leuciscus spp,Chubs nei,,,,,,11,Leuciscus spp,1400020020XX,,CYPRINIDAE,CYPRINIFORMES
RHM,,,Rhodeus amarus,,,,,,,11,Rhodeus amarus,140002002101,(Bloch 1782),CYPRINIDAE,CYPRINIFORMES
ROO,,Rosy bitterling,Rhodeus ocellatus,Rosy bitterling,,,,,,11,Rhodeus ocellatus,140002002102,Kner 1866,CYPRINIDAE,CYPRINIFORMES
ROR,,Bitterling,Rhodeus sericeus,Bitterling,,,,,,11,Rhodeus sericeus,140002002103,(Pallas 1776),CYPRINIDAE,CYPRINIFORMES
TBT,,,Tribolodon taczanowskii,,,,,,,11,Tribolodon taczanowskii,140002002301,(Steindachner 1881),CYPRINIDAE,CYPRINIFORMES
TFZ,,Big-scaled redfin,Tribolodon hakonensis,Big-scaled redfin,,,,,,11,Tribolodon hakonensis,140002002302,(Günther 1877),CYPRINIDAE,CYPRINIFORMES
ZTB,,Far Eastern ide,Tribolodon brandtii,Far Eastern ide,,,,,,11,Tribolodon brandtii,140002002303,(Dybowski 1872),CYPRINIDAE,CYPRINIFORMES
LBG,,,Labeo angra,,,,,,,11,Labeo angra,140002002401,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LBB,,,Labeo bata,,,,,,,11,Labeo bata,140002002403,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LBO,,,Labeo boga,,,,,,,11,Labeo boga,140002002404,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LCB,,Orangefin labeo,Labeo calbasu,Orangefin labeo,Labéo,Labeo,لابِييُو,蓝野鲮,Калбасу,11,Labeo calbasu,140002002405,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LBD,,,Labeo dero,,,,,,,11,Labeo dero,140002002406,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LBM,,,Labeo dussumieri,,,,,,,11,Labeo dussumieri,140002002408,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
LBF,,Fringed-lipped peninsula carp,Labeo fimbriatus,Fringed-lipped peninsula carp,,,,,,11,Labeo fimbriatus,140002002409,(Bloch 1795),CYPRINIDAE,CYPRINIFORMES
LBI,,Kuria labeo,Labeo gonius,Kuria labeo,,,,,,11,Labeo gonius,140002002410,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LBJ,,,Labeo kontius,,,,,,,11,Labeo kontius,140002002411,(Jerdon 1849),CYPRINIDAE,CYPRINIFORMES
LOI,,,Labeo microphthalmus,,,,,,,11,Labeo microphthalmus,140002002412,Day 1877,CYPRINIDAE,CYPRINIFORMES
LON,,,Labeo nandina,,,,,,,11,Labeo nandina,140002002413,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LOH,,,Labeo pangusia,,,,,,,11,Labeo pangusia,140002002414,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LRH,,Roho labeo,Labeo rohita,Roho labeo,Labéo Roho,Labeo Roho,لبيس روهو,南亚野鲮,Роху,11,Labeo rohita,140002002415,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
LOD,,,Labeo sindensis,,,,,,,11,Labeo sindensis,140002002416,(Day 1872),CYPRINIDAE,CYPRINIFORMES
LBV,,Rednose labeo,Labeo altivelis,Rednose labeo,,,,,,11,Labeo altivelis,140002002417,Peters 1852,CYPRINIDAE,CYPRINIFORMES
LBU,,,Labeo coubie,,,,,,,11,Labeo coubie,140002002418,Rüppell 1832,CYPRINIDAE,CYPRINIFORMES
LBY,,Redeye labeo,Labeo cylindricus,Redeye labeo,,,,,,11,Labeo cylindricus,140002002419,Peters 1868,CYPRINIDAE,CYPRINIFORMES
LBL,,,Labeo darlingi,,,,,,,11,Labeo darlingi,140002002420,Boulenger 1902,CYPRINIDAE,CYPRINIFORMES
LBK,,,Labeo forskalii,,,,,,,11,Labeo forskalii,140002002421,Rüppell 1836,CYPRINIDAE,CYPRINIFORMES
LBN,,,Labeo fuelleborni,,,,,,,11,Labeo fuelleborni,140002002422,Hilgendorf & Pappenheim 1903,CYPRINIDAE,CYPRINIFORMES
LBQ,,,Labeo horie,,,,,,,11,Labeo horie,140002002423,Heckel 1846-49,CYPRINIDAE,CYPRINIFORMES
LOM,,,Labeo mesops,,,,,,,11,Labeo mesops,140002002424,Günther 1868,CYPRINIDAE,CYPRINIFORMES
LOL,,,Labeo niloticus,,,,,,,11,Labeo niloticus,140002002425,(Forsskål 1775),CYPRINIDAE,CYPRINIFORMES
LOC,,Ningu,Labeo victorianus,Ningu,,,,,,11,Labeo victorianus,140002002426,Boulenger 1901,CYPRINIDAE,CYPRINIFORMES
LBP,,Orange River mudfish,Labeo capensis,Orange River mudfish,,,,,,11,Labeo capensis,140002002430,(Smith 1841),CYPRINIDAE,CYPRINIFORMES
LBH,,,Labeo dyocheilus,,,,,,,11,Labeo dyocheilus,140002002431,(McClelland 1839),CYPRINIDAE,CYPRINIFORMES
LOE,,,Labeo rosae,,,,,,,11,Labeo rosae,140002002433,Steindachner 1894,CYPRINIDAE,CYPRINIFORMES
EOU,,Moggel,Labeo umbratus,Moggel,,,,,,11,Labeo umbratus,140002002435,(Smith 1841),CYPRINIDAE,CYPRINIFORMES
MOH,,Black sharkminnow,Labeo chrysophekadion,Black sharkminnow,,,,黑野鲮,,11,Labeo chrysophekadion,140002002436,(Bleeker 1850),CYPRINIDAE,CYPRINIFORMES
ZYS,,Purple labeo,Labeo congoro,Purple labeo,,,,,,11,Labeo congoro,140002002437,Peters 1852,CYPRINIDAE,CYPRINIFORMES
RHI,,Rhinofishes nei,Labeo spp,Rhinofishes nei,Labéos nca,Labeos nep,,,,11,Labeo spp,1400020024XX,,CYPRINIDAE,CYPRINIFORMES
RNR,,,Cirrhinus cirrhosus,,,,,,,11,Cirrhinus cirrhosus,140002002501,(Bloch 1795),CYPRINIDAE,CYPRINIFORMES
MUC,,Mud carp,Cirrhinus molitorella,Mud carp,Carpe de vase,Carpa de fango,شبّوط الوحل,鲮,Циррина ильная,11,Cirrhinus molitorella,140002002502,(Valenciennes 1844),CYPRINIDAE,CYPRINIFORMES
CMG,,Mrigal carp,Cirrhinus mrigala,Mrigal carp,,,,,Мригала (=мригаль),11,Cirrhinus mrigala,140002002503,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
RNE,,Reba carp,Cirrhinus reba,Reba carp,,,,,,11,Cirrhinus reba,140002002504,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
RNM,,Small scale mud carp,Cirrhinus microlepis,Small scale mud carp,,,,,Циррина ильная мелкочешуйчатая,11,Cirrhinus microlepis,140002002505,Sauvage 1878,CYPRINIDAE,CYPRINIFORMES
AVL,,Pátzcuaro chub,Algansea lacustris,Pátzcuaro chub,,Acúmara,,,,11,Algansea lacustris,140002002601,Steindachner 1895,CYPRINIDAE,CYPRINIFORMES
ASJ,,,Aspidoparia jaya,,,,,,,11,Aspidoparia jaya,140002002801,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
ARR,,,Aspidoparia morar,,,,,,,11,Aspidoparia morar,140002002802,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
ABA,,,Albulichthys albuloides,,,,,,,11,Albulichthys albuloides,140002002901,(Bleeker 1855),CYPRINIDAE,CYPRINIFORMES
TCS,,Giant barb,Catlocarpio siamensis,Giant barb,,,,,,11,Catlocarpio siamensis,140002003101,Boulenger 1898,CYPRINIDAE,CYPRINIFORMES
GUH,,,Chagunius chagunio,,,,,,,11,Chagunius chagunio,140002003201,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
HEU,,,Chela cachius,,,,,,,11,Chela cachius,140002003301,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
HEO,,Indian glass barb,Chela laubuca,Indian glass barb,,,,,,11,Chela laubuca,140002003302,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
ILA,,,Crossocheilus latius,,,,,,,11,Crossocheilus latius,140002003401,(Heckel 1838),CYPRINIDAE,CYPRINIFORMES
FCG,,Grass carp(=White amur),Ctenopharyngodon idella,Grass carp(=White amur),Carpe herbivore(=chinoise),Carpa china,شبّوط  الأعشاب، مبروك الأعشاب,草鱼,Амур белый,11,Ctenopharyngodon idella,140002003501,(Valenciennes 1844),CYPRINIDAE,CYPRINIFORMES
YCE,,,Cyclocheilichthys enoplos,,,,,,,11,Cyclocheilichthys enoplos,140002003601,(Bleeker 1850),CYPRINIDAE,CYPRINIFORMES
YCA,,Beardless barb,Cyclocheilichthys apogon,Beardless barb,,,,,Барбус апогон,11,Cyclocheilichthys apogon,140002003602,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
YCD,,,Cyclocheilichthys dumerilii,,,,,,,11,Cyclocheilichthys dumerilii,140002003603,Sauvage 1881,CYPRINIDAE,CYPRINIFORMES
YCQ,,,Cyclocheilichthys armatus,,,,,,,11,Cyclocheilichthys armatus,140002003604,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
DAE,,Giant danio,Danio aequipinnatus,Giant danio,,,,,,11,Danio aequipinnatus,140002003701,(McClelland 1839),CYPRINIDAE,CYPRINIFORMES
DAD,,,Danio dangila,,,,,,,11,Danio dangila,140002003703,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
DAV,,Sind danio,Danio devario,Sind danio,,,,,,11,Danio devario,140002003704,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
DAI,,Zebra danio,Danio rerio,Zebra danio,,,,,,11,Danio rerio,140002003706,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
DAF,,Leopard danio,Danio frankei,Leopard danio,,,,,,11,Danio frankei,140002003708,(Meinken 1963),CYPRINIDAE,CYPRINIFORMES
ABI,,Schneider,Alburnoides bipunctatus,Schneider,Spirlin,,,,,11,Alburnoides bipunctatus,140002003901,(Bloch 1782),CYPRINIDAE,CYPRINIFORMES
GIN,,Chihuahua chub,Gila nigrescens,Chihuahua chub,,,,,,11,Gila nigrescens,140002004101,(Girard 1856),CYPRINIDAE,CYPRINIFORMES
GIA,,Utah chub,Gila atraria,Utah chub,,,,,,11,Gila atraria,140002004102,(Girard 1856),CYPRINIDAE,CYPRINIFORMES
GIB,,Tui chub,Gila bicolor,Tui chub,,,,,,11,Gila bicolor,140002004103,(Girard 1856),CYPRINIDAE,CYPRINIFORMES
GIC,,Humpback chub,Gila cypha,Humpback chub,,,,,,11,Gila cypha,140002004104,Miller 1946,CYPRINIDAE,CYPRINIFORMES
GIE,,Bonytail,Gila elegans,Bonytail,,,,,,11,Gila elegans,140002004105,Baird & Girard 1853,CYPRINIDAE,CYPRINIFORMES
GIR,,Roundtail chub,Gila robusta,Roundtail chub,,,,,,11,Gila robusta,140002004106,Baird & Girard 1853,CYPRINIDAE,CYPRINIFORMES
HMD,,,Hampala dispar,,,,,,,11,Hampala dispar,140002004201,Smith 1934,CYPRINIDAE,CYPRINIFORMES
HML,,Hampala barb,Hampala macrolepidota,Hampala barb,,,,,,11,Hampala macrolepidota,140002004202,Kuhl & Van Hasselt 1823,CYPRINIDAE,CYPRINIFORMES
IJM,,,Hampala salweenensis,,,,,,,11,Hampala salweenensis,140002004203,Doi & Taki 1994,CYPRINIDAE,CYPRINIFORMES
SVC,,Silver carp,Hypophthalmichthys molitrix,Silver carp,Carpe argentée,Carpa plateada,,鲢,Толстолобик белый,11,Hypophthalmichthys molitrix,140002004301,(Valenciennes 1844),CYPRINIDAE,CYPRINIFORMES
BIC,,Bighead carp,Hypophthalmichthys nobilis,Bighead carp,Carpe à grosse tête,Carpa cabezona,,鳙,Толстолобик пестрый,11,Hypophthalmichthys nobilis,140002004302,(Richardson 1845),CYPRINIDAE,CYPRINIFORMES
HXP,,"Silver, bighead carps nei",Hypophthalmichthys spp,"Silver, bighead carps nei",Carpes nca,Carpas nep,,,,11,Hypophthalmichthys spp,1400020043XX,,CYPRINIDAE,CYPRINIFORMES
BBB,,,Labeobarbus bynni,,,,,,,11,Labeobarbus bynni,140002004401,(Forsskål 1775),CYPRINIDAE,CYPRINIFORMES
LUE,,,Labiobarbus leptocheilus,,,,,,,11,Labiobarbus leptocheilus,140002004402,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
LZF,,Signal barb,Labiobarbus festivus,Signal barb,,,,,,11,Labiobarbus festivus,140002004403,(Heckel 1843),CYPRINIDAE,CYPRINIFORMES
LZQ,,,Labiobarbus fasciatus,,,,,,,11,Labiobarbus fasciatus,140002004404,(Bleeker 1853),CYPRINIDAE,CYPRINIFORMES
LZW,,,Labiobarbus ocellatus,,,,,,,11,Labiobarbus ocellatus,140002004405,(Heckel 1843),CYPRINIDAE,CYPRINIFORMES
JEG,,,Labiobarbus siamensis,,,,,,,11,Labiobarbus siamensis,140002004406,(Sauvage 1881),CYPRINIDAE,CYPRINIFORMES
